"","Latitude","Longitude","PontosAmostrais","Calcio","Magnesio","Al","Potassio","Fosforo","Enxofre","MO","CTC","SaturacaoPorBases","CalcioSaturacaoDeBases","MagnesioSaturacaoDebases","PotassioSaturacaoDeBases","pH","Latitude","Longitude","Rendimento.seco","Produtividade"
"129",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069530292464,-1.00015980839576,0.4,0
"130",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069480216993,-1.00015973123035,2.3,0
"131",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069432895673,-1.0001596542598,5.4,0
"132",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069395881554,-1.00015958410943,6.9,0
"133",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069341716586,-1.00015946836131,6.9,0
"134",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069293685863,-1.00015939489828,7.1,0
"135",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069252540518,-1.00015936333062,7.6,0
"136",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069118129607,-1.00015912150669,7.9,0
"137",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069082492564,-1.00015903031121,7.9,0
"138",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00069042014891,-1.00015892528051,7.8,0
"139",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00068210177856,-1.00015947888387,6.9,0
"140",-1.00070230985781,-1.0001418310423,101,6.06,1.84,0,220,26.8,0,5.37,15.22,55.58,39.8,12.1,3.7,5,-1.00068255412698,-1.00015955604928,5.7,0
