"Latitude","Longitude","PontosAmostrais","Calcio","Magnesio","Al","Potassio","Fosforo","Enxofre","MO","Zinco","Boro","Cobre","Ferro","Manganes","MateriaOrganica","CTC","SaturacaoPorBases","CalcioSaturacaoDeBases","MagnesioSaturacaoDebases","PotassioSaturacaoDeBases","pH","TeorDeArgila","WGS84_ALT","GPS_DATE"
"29",-1.00016638882547,-1.00014124236907,129,5.8,1.63,0,251,20.6,0,4.46,0,0,0,0,0,0,15.27,52.85,38,10.7,4.2,5.02,0,877.1,140329
"30",-1.00022057370096,-1.00011263920232,130,5.69,1.39,0.14,202,62.2,0,5.15,0,0,0,0,0,0,17.47,43.5,32.6,8,3,4.87,0,870.2,140329
"31",-1.00026305167907,-1.00011191373709,131,5.18,1.3,0.09,255,45.1,8.7,4.51,0,0,0,0,0,0,15.74,45.3,32.9,8.3,4.1,4.95,0,859.1,140329
"32",-1.00031284688531,-1.00009255650093,132,4.46,1.27,0,315,25.7,0,3.72,0,0,0,0,0,0,12.81,50.98,34.8,9.9,6.3,5.05,0,845.6,140329
"33",-1.00037064447528,-1.00008038064953,133,4.84,1.67,0,301,18.8,0,3.5,0,0,0,0,0,0,12.48,58.33,38.8,13.4,6.2,5.33,0,839,140329
"34",-1.00042167938754,-1.00006836263505,134,4.7,1.32,0,224,19.5,0,3.38,0,0,0,0,0,0,11.68,56.42,40.2,11.3,4.9,5.19,0,833.1,140329
"35",-1.00046556856921,-1.00005326368296,135,5.94,1.31,0,269,61.9,0,3.53,0,0,0,0,0,0,13.54,58.64,43.9,9.7,5.1,5.22,0,830.8,140329
"36",-1.00036660531194,-1.00005254523271,136,5.21,1.35,0.05,208,34.7,7.9,3.8,0,0,0,0,0,0,13.71,51.71,38,9.8,3.9,4.98,0,836.5,140329
"37",-1.00032132996286,-1.00006820129065,137,4.07,1.1,0.08,231,22.1,0,4.04,0,0,0,0,0,0,12.89,44.69,31.6,8.5,4.6,4.81,0,848.2,140329
"38",-1.00027348256803,-1.00008216459639,138,5.01,1.41,0,231,23.1,0,3.75,0,0,0,0,0,0,12.85,54.55,39,11,4.6,5.09,0,855.5,140329
"39",-1.00021854410484,-1.00008257477751,139,5.94,1.69,0,183,16.5,0,4.71,0,0,0,0,0,0,14.65,55.29,40.5,11.5,3.2,5.16,0,865.3,140329
"40",-1.00017285607678,-1.00011207508149,140,4.64,1.5,0,239,16.1,0,4.32,0,0,0,0,0,0,13.58,49.71,34.2,11.1,4.5,4.99,0,875.1,140329
"41",-1.00012611861733,-1.00012471002396,141,5.69,2.53,0,215,20.7,7,4.78,0,0,0,0,0,0,13.92,63,40.9,18.2,4,5.5,0,881.1,140329
"42",-1.00011694245607,-1.00010178119173,142,4.7,1.47,0.23,198,14.3,0,4.22,0,0,0,0,0,0,15.02,44.47,31.3,9.8,3.4,4.93,0,879.7,140329
"43",-1.00017083273968,-1.0000819368046,143,4.2,1.17,0.32,219,14.4,0,4.98,0,0,0,0,0,0,16.22,36.56,25.9,7.2,3.5,4.79,0,872.5,140329
"44",-1.00021981260242,-1.0000521212165,144,5.18,1.43,0,181,12,0,4.61,0,0,0,0,0,0,14.05,50.32,36.9,10.2,3.3,4.99,0,867.9,140329
"45",-1.00027633543578,-1.00005524385424,145,5.78,1.79,0,173,19.2,0,4.59,0,0,0,0,0,0,15.52,51.61,37.2,11.5,2.8,5.11,0,855.6,140329
"46",-1.00031813410005,-1.00003715184658,146,4.68,1.23,0.14,129,21,0,4.51,0,0,0,0,0,0,14.94,41.77,31.3,8.2,2.2,4.81,0,847,140329
"47",-1.00035021498797,-1.00002639555311,147,4.41,1.19,0.1,199,7.5,0,4.04,0,0,0,0,0,0,12.66,48.26,34.8,9.4,4,4.89,0,826.2,140329
"48",-1.00031028902671,-1.00001,149,4.72,1.34,0,135,6.9,0,3.53,0,0,0,0,0,0,12.83,49.96,36.8,10.4,2.7,5,0,841.5,140329
"49",-1.00026986860174,-1.00002448533672,150,4.85,1.23,0.1,160,19.2,0,4.76,0,0,0,0,0,0,13.92,46.62,34.8,8.8,3,4.94,0,856.6,140329
"50",-1.00022015559748,-1.00002454145651,151,4.54,0.96,0.32,199,27.6,0,5.03,0,0,0,0,0,0,17.69,33.97,25.7,5.4,2.9,4.72,0,867.3,140329
"51",-1.00016157479371,-1.00006036459039,152,4.73,1.14,0.26,175,18.8,0,5.15,0,0,0,0,0,0,17.75,35.61,26.6,6.4,2.5,4.79,0,872.7,140329
"52",-1.00010863713508,-1.0000634032433,153,4.54,1.08,0.23,181,20.9,8.4,5.3,0,0,0,0,0,0,18.26,33.3,24.9,5.9,2.5,4.69,0,879,140329
"53",-1.00005,-1.00005867164334,154,5.02,1.32,0.24,195,27.5,0,5.62,0,0,0,0,0,0,18.39,37.19,27.3,7.2,2.7,4.77,0,885.3,140329
"54",-1.00007441524023,-1.00008268682223,155,5.87,1.63,0.08,205,13.9,0,5.15,0,0,0,0,0,0,17.09,46.93,34.4,9.5,3,4.84,0,883.1,140329
